Name,Category,Subcategory,Subsubcategory,URL,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carbohydrate,dietary_fiber,sugars,protein,caffeine
Tropical Citrus Iced Energy (VENTI ONLY),drinks,iced energy,iced energy,https://www.starbucks.com/menu/product/2123900/iced, 24 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 35 mg, 0 g, 0 g, 0 g, 0 g, 205 mg
Melon Burst Iced Energy (VENTI ONLY),drinks,iced energy,iced energy,https://www.starbucks.com/menu/product/2123899/iced, 24 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 35 mg, 1 g, 0 g, 0 g, 0 g, 180 mg
Frozen Tropical Citrus Iced Energy with Strawberry Puree (VENTI ONLY),drinks,iced energy,iced energy,https://www.starbucks.com/menu/product/2123898/iced, 24 fl oz,180.0, 0 g, 0 g, 0 g, 0 mg, 270 mg, 43 g, 0 g, 42 g, 0 g, 140 mg
Caffè Americano,drinks,hot coffees,americanos,https://www.starbucks.com/menu/product/406/hot, 8 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 1 g, 0 g, 0 g, 0 g, 75 mg
Featured Blonde Roast,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/873068625/hot, 8 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 180 mg
Featured Medium Roast - Pike Place® Roast,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/480/hot, 8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 195 mg
Featured Dark Roast,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/479/hot, 8 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 130 mg
Decaf Pike Place® Roast,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/481/hot, 8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 15 mg
Veranda Blend® Clover Vertica™,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/2123770/hot, 8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 195 mg
Featured Dark Roast Caffè Verona®,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/2123740/hot, 8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 195 mg
Starbucks® Green Apron Blend™,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/2123769/hot, 8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 195 mg
Clover Vertica Bali Mount Batur Brewed Coffee,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/2123905/hot,,,,,,,,,,,,
Caffè Misto,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/478/hot, 8 fl oz,50.0, 2 g, 1 g, 0 g, 10 mg, 50 mg, 5 g, 0 g, 5 g, 4 g, 75 mg
Clover® Starbucks Reserve® Vietnam Da Lat,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/2121563/hot, 8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 195 mg
Clover® Malawi Sable Farms Starbucks Reserve®,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/2121958/hot, 16 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 1 g, 195 mg
Clover® Starbucks Reserve® Rwanda Sholi,drinks,hot coffees,brewed coffees,https://www.starbucks.com/menu/product/2123757/hot, 8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 195 mg
Cappuccino,drinks,hot coffees,cappuccinos,https://www.starbucks.com/menu/product/409/hot, 8 fl oz,70.0, 2.5 g, 1.5 g, 0 g, 10 mg, 60 mg, 7 g, 0 g, 6 g, 4 g, 75 mg
Espresso,drinks,hot coffees,espresso shots,https://www.starbucks.com/menu/product/410/hot, 0.75 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 0 mg, 1 g, 0 g, 0 g, 0 g, 75 mg
Espresso Con Panna,drinks,hot coffees,espresso shots,https://www.starbucks.com/menu/product/411/hot, 0.75 fl oz,30.0, 2.5 g, 1.5 g, 0 g, 10 mg, 0 mg, 1 g, 0 g, 0 g, 1 g, 75 mg
Flat White,drinks,hot coffees,flat whites,https://www.starbucks.com/menu/product/565/hot, 8 fl oz,110.0, 5 g, 3 g, 0 g, 15 mg, 70 mg, 9 g, 0 g, 8 g, 6 g, 130 mg
Honey Almondmilk Flat White,drinks,hot coffees,flat whites,https://www.starbucks.com/menu/product/2123158/hot, 8 fl oz,80.0, 2.5 g, 0 g, 0 g, 0 mg, 60 mg, 15 g, 1 g, 12 g, 1 g, 150 mg
Oleato™ Caffé Latte with Oatmilk,drinks,hot coffees,lattes,https://www.starbucks.com/menu/product/2123744/hot, 8 fl oz,210.0, 18 g, 2.5 g, 0 g, 0 mg, 60 mg, 14 g, 2 g, 3 g, 1 g, 85 mg
Caffè Latte,drinks,hot coffees,lattes,https://www.starbucks.com/menu/product/407/hot, 8 fl oz,100.0, 3.5 g, 2.5 g, 0 g, 15 mg, 85 mg, 10 g, 0 g, 9 g, 6 g, 75 mg
Cinnamon Dolce Latte,drinks,hot coffees,lattes,https://www.starbucks.com/menu/product/414/hot, 8 fl oz,190.0, 9 g, 5 g, 0 g, 30 mg, 85 mg, 22 g, 0 g, 21 g, 6 g, 75 mg
Starbucks® Blonde Vanilla Latte,drinks,hot coffees,lattes,https://www.starbucks.com/menu/product/2122164/hot, 8 fl oz,130.0, 3.5 g, 1.5 g, 0 g, 15 mg, 80 mg, 18 g, 0 g, 17 g, 6 g, 85 mg
Caramel Macchiato,drinks,hot coffees,macchiatos,https://www.starbucks.com/menu/product/413/hot, 8 fl oz,120.0, 4 g, 2.5 g, 0 g, 15 mg, 80 mg, 16 g, 0 g, 15 g, 5 g, 75 mg
Espresso Macchiato,drinks,hot coffees,macchiatos,https://www.starbucks.com/menu/product/412/hot, 0.8 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 0 mg, 1 g, 0 g, 0 g, 0 g, 75 mg
Caffè Mocha,drinks,hot coffees,mochas,https://www.starbucks.com/menu/product/408/hot, 8 fl oz,200.0, 9 g, 6 g, 0 g, 30 mg, 75 mg, 22 g, 2 g, 18 g, 7 g, 90 mg
White Chocolate Mocha,drinks,hot coffees,mochas,https://www.starbucks.com/menu/product/420/hot, 8 fl oz,200.0, 10 g, 6 g, 0 g, 25 mg, 100 mg, 23 g, 0 g, 22 g, 6 g, 75 mg
Coffee Traveler - Veranda Blend®,drinks,hot coffees,coffee travelers,https://www.starbucks.com/menu/product/873068654/hot, 8 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 1 g, 180 mg
Coffee Traveler - Dark Roast,drinks,hot coffees,coffee travelers,https://www.starbucks.com/menu/product/873068656/hot, 8 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 5 mg, 0 g, 0 g, 0 g, 0 g, 130 mg
Coffee Traveler - Pike Place® Roast,drinks,hot coffees,coffee travelers,https://www.starbucks.com/menu/product/873068655/hot, 8 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 1 g, 155 mg
Coffee Traveler - Decaf Pike Place® Roast,drinks,hot coffees,coffee travelers,https://www.starbucks.com/menu/product/873068657/hot, 8 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 1 g, 15 mg
White Chocolate Macadamia Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2123758/iced, 12 fl oz,160.0, 9 g, 6 g, 0 g, 25 mg, 85 mg, 20 g, 0 g, 19 g, 2 g, 145 mg
Cinnamon Caramel Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2123736/iced, 12 fl oz,200.0, 11 g, 7 g, 0 g, 35 mg, 70 mg, 24 g, 0 g, 24 g, 2 g, 145 mg
Salted Caramel Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2122795/iced, 12 fl oz,190.0, 12 g, 8 g, 0 g, 40 mg, 300 mg, 19 g, 0 g, 19 g, 2 g, 145 mg
Chocolate Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2123644/iced, 12 fl oz,190.0, 12 g, 7 g, 0 g, 35 mg, 25 mg, 20 g, 0 g, 20 g, 2 g, 145 mg
Starbucks® Cold Brew Coffee,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2121255/iced, 12 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 0 g, 155 mg
Vanilla Sweet Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2121859/iced, 12 fl oz,90.0, 5 g, 3.5 g, 0 g, 15 mg, 20 mg, 9 g, 0 g, 9 g, 1 g, 145 mg
Nondairy Salted Caramel Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2123883/iced, 12 fl oz,130.0, 7 g, 0 g, 0 g, 0 mg, 240 mg, 15 g, 0 g, 14 g, 2 g, 145 mg
Nondairy Vanilla Sweet Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2123879/iced, 12 fl oz,80.0, 4 g, 0 g, 0 g, 0 mg, 20 mg, 9 g, 0 g, 9 g, 1 g, 145 mg
Cold Brew with Nondairy Vanilla Sweet Cream Cold Foam,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2123880/iced, 12 fl oz,100.0, 6 g, 0 g, 0 g, 0 mg, 25 mg, 11 g, 0 g, 10 g, 2 g, 145 mg
Nondairy Chocolate Cream Cold Brew,drinks,cold coffees,cold brews,https://www.starbucks.com/menu/product/2123881/iced, 12 fl oz,180.0, 9 g, 0.5 g, 0 g, 0 mg, 35 mg, 22 g, 0 g, 20 g, 3 g, 145 mg
Vanilla Sweet Cream Nitro Cold Brew,drinks,cold coffees,nitro cold brews,https://www.starbucks.com/menu/product/2122237/iced, 12 fl oz,70.0, 5 g, 3.5 g, 0 g, 15 mg, 15 mg, 4 g, 0 g, 4 g, 1 g, 200 mg
Cinnamon Caramel Cream Nitro Cold Brew,drinks,cold coffees,nitro cold brews,https://www.starbucks.com/menu/product/2123734/iced, 12 fl oz,180.0, 10 g, 6 g, 0 g, 30 mg, 70 mg, 22 g, 0 g, 22 g, 1 g, 185 mg
Nitro Cold Brew,drinks,cold coffees,nitro cold brews,https://www.starbucks.com/menu/product/2121912/iced, 12 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 0 g, 215 mg
Iced Caffè Americano,drinks,cold coffees,iced americano,https://www.starbucks.com/menu/product/406/iced, 12 fl oz,10.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 1 g, 0 g, 0 g, 1 g, 150 mg
Caramel Vanilla Swirl Iced Coffee,drinks,cold coffees,iced coffees,https://www.starbucks.com/menu/product/2123864/iced, 12 fl oz,140.0, 5 g, 3.5 g, 0 g, 15 mg, 15 mg, 21 g, 0 g, 21 g, 1 g, 120 mg
Starbucks® Iced Coffee Blend,drinks,cold coffees,iced coffees,https://www.starbucks.com/menu/product/422/iced, 12 fl oz,0.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 0 g, 135 mg
Starbucks® Iced Coffee Blend Clover Vertica™,drinks,cold coffees,iced coffees,https://www.starbucks.com/menu/product/2123863/iced, 12 fl oz,0.0, 0 g, 0 g, 0 g, 0 mg, 10 mg, 0 g, 0 g, 0 g, 0 g, 135 mg
Iced Espresso,drinks,cold coffees,iced shaken espresso,https://www.starbucks.com/menu/product/410/iced, 0.75 fl oz,5.0, 0 g, 0 g, 0 g, 0 mg, 0 mg, 1 g, 0 g, 0 g, 0 g, 75 mg
Iced Hazelnut Oatmilk Shaken Espresso,drinks,cold coffees,iced shaken espresso,https://www.starbucks.com/menu/product/2123805/iced, 12 fl oz,100.0, 3.5 g, 0 g, 0 g, 0 mg, 45 mg, 17 g, 1 g, 8 g, 1 g, 170 mg
Iced Brown Sugar Oatmilk Shaken Espresso,drinks,cold coffees,iced shaken espresso,https://www.starbucks.com/menu/product/2123431/iced, 12 fl oz,100.0, 2.5 g, 0 g, 0 g, 0 mg, 90 mg, 17 g, 1 g, 9 g, 1 g, 170 mg
Oleato Golden Foam™ Iced Shaken Espresso with Toffeenut,drinks,cold coffees,iced shaken espresso,https://www.starbucks.com/menu/product/2123803/iced, 12 fl oz,310.0, 25 g, 10 g, 0 g, 40 mg, 85 mg, 22 g, 0 g, 18 g, 2 g, 170 mg
Iced Shaken Espresso,drinks,cold coffees,iced shaken espresso,https://www.starbucks.com/menu/product/2123425/iced, 12 fl oz,80.0, 1.5 g, 1 g, 0 g, 5 mg, 45 mg, 13 g, 0 g, 11 g, 3 g, 150 mg
Iced Flat White,drinks,cold coffees,iced flat whites,https://www.starbucks.com/menu/product/565/iced, 12 fl oz,110.0, 6 g, 3.5 g, 0 g, 20 mg, 80 mg, 10 g, 0 g, 8 g, 6 g, 90 mg
Iced Honey Almondmilk Flat White,drinks,cold coffees,iced flat whites,https://www.starbucks.com/menu/product/2123158/iced, 12 fl oz,100.0, 2.5 g, 0 g, 0 g, 0 mg, 70 mg, 20 g, 1 g, 17 g, 1 g, 150 mg
Iced Starbucks® Blonde Vanilla Latte,drinks,cold coffees,iced lattes,https://www.starbucks.com/menu/product/2122164/iced, 12 fl oz,140.0, 3 g, 1.5 g, 0 g, 15 mg, 75 mg, 23 g, 0 g, 22 g, 6 g, 85 mg
